id,book,chapter,verse,b,c,v,month,month_name,day,words,month_source,note,text
20,"ויקרא","כג","לט",2,23,39,7,"תשרי",15,"2-6",explicit,"","אַ֡ךְ <b>בַּֽחֲמִשָּׁה֩ עָשָׂ֨ר י֜וֹם לַחֹ֣דֶשׁ הַשְּׁבִיעִ֗י</b> בְּאָסְפְּכֶם֙ אֶת־תְּבוּאַ֣ת הָאָ֔רֶץ תָּחֹ֥גּוּ אֶת־חַג־יְהֹוָ֖ה שִׁבְעַ֣ת יָמִ֑ים בַּיּ֤וֹם הָֽרִאשׁוֹן֙ שַׁבָּת֔וֹן וּבַיּ֥וֹם הַשְּׁמִינִ֖י שַׁבָּתֽוֹן"
21,"ויקרא","כה","ט",2,25,9,7,"תשרי",10,"4-7",explicit,"","וְהַֽעֲבַרְתָּ֞ שׁוֹפַ֤ר תְּרוּעָה֙ <b>בַּחֹ֣דֶשׁ הַשְּׁבִעִ֔י בֶּֽעָשׂ֖וֹר לַחֹ֑דֶשׁ</b> בְּיוֹם֙ הַכִּפֻּרִ֔ים תַּֽעֲבִ֥ירוּ שׁוֹפָ֖ר בְּכָל־אַרְצְכֶֽם"
22,"במדבר","א","א",3,1,1,2,"אייר",1,"9-16",explicit,"","וַיְדַבֵּ֨ר יְהֹוָ֧ה אֶל־מֹשֶׁ֛ה בְּמִדְבַּ֥ר סִינַ֖י בְּאֹ֣הֶל מוֹעֵ֑ד <b>בְּאֶחָד֩ לַחֹ֨דֶשׁ הַשֵּׁנִ֜י בַּשָּׁנָ֣ה הַשֵּׁנִ֗ית לְצֵאתָ֛ם מֵאֶ֥רֶץ מִצְרַ֖יִם</b> לֵאמֹֽר"
23,"במדבר","א","יח",3,1,18,2,"אייר",1,"5-7",explicit,"","וְאֵ֨ת כָּל־הָֽעֵדָ֜ה הִקְהִ֗ילוּ <b>בְּאֶחָד֙ לַחֹ֣דֶשׁ הַשֵּׁנִ֔י</b> וַיִּתְיַֽלְד֥וּ עַל־מִשְׁפְּחֹתָ֖ם לְבֵ֣ית אֲבֹתָ֑ם בְּמִסְפַּ֣ר שֵׁמ֗וֹת מִבֶּ֨ן עֶשְׂרִ֥ים שָׁנָ֛ה וָמַ֖עְלָה לְגֻלְגְּלֹתָֽם"
24,"במדבר","ט","ג",3,9,3,1,"ניסן",14,"1-5",context,"החודש נלמד מההקשר","<b>בְּאַרְבָּעָ֣ה עָשָֽׂר־י֠וֹם בַּחֹ֨דֶשׁ הַזֶּ֜ה</b> בֵּ֧ין הָֽעַרְבַּ֛יִם תַּֽעֲשׂ֥וּ אֹת֖וֹ בְּמֹֽעֲד֑וֹ כְּכָל־חֻקֹּתָ֥יו וּכְכָל־מִשְׁפָּטָ֖יו תַּֽעֲשׂ֥וּ אֹתֽוֹ"
25,"במדבר","ט","ה",3,9,5,1,"ניסן",14,"4-8",explicit,"","וַיַּֽעֲשׂ֣וּ אֶת־הַפֶּ֡סַח <b>בָּֽרִאשׁ֡וֹן בְּאַרְבָּעָה֩ עָשָׂ֨ר י֥וֹם לַחֹ֛דֶשׁ</b> בֵּ֥ין הָֽעַרְבַּ֖יִם בְּמִדְבַּ֣ר סִינָ֑י כְּ֠כֹ֠ל אֲשֶׁ֨ר צִוָּ֤ה יְהֹוָה֙ אֶת־מֹשֶׁ֔ה כֵּ֥ן עָשׂ֖וּ בְּנֵ֥י יִשְׂרָאֵֽל"
26,"במדבר","ט","יא",3,9,11,2,"אייר",14,"1-5",explicit,"","<b>בַּחֹ֨דֶשׁ הַשֵּׁנִ֜י בְּאַרְבָּעָ֨ה עָשָׂ֥ר י֛וֹם</b> בֵּ֥ין הָֽעַרְבַּ֖יִם יַֽעֲשׂ֣וּ אֹת֑וֹ עַל־מַצּ֥וֹת וּמְרֹרִ֖ים יֹֽאכְלֻֽהוּ"
27,"במדבר","י","יא",3,10,11,2,"אייר",20,"2-7",explicit,"","וַיְהִ֞י <b>בַּשָּׁנָ֧ה הַשֵּׁנִ֛ית בַּחֹ֥דֶשׁ הַשֵּׁנִ֖י בְּעֶשְׂרִ֣ים בַּחֹ֑דֶשׁ</b> נַֽעֲלָה֙ הֶֽעָנָ֔ן מֵעַ֖ל מִשְׁכַּ֥ן הָֽעֵדֻֽת"
28,"במדבר","כח","טז",3,28,16,1,"ניסן",14,"1-6",explicit,"","<b>וּבַחֹ֣דֶשׁ הָֽרִאשׁ֗וֹן בְּאַרְבָּעָ֥ה עָשָׂ֛ר י֖וֹם לַחֹ֑דֶשׁ</b> פֶּ֖סַח לַֽיהֹוָֽה"
29,"במדבר","כח","יז",3,28,17,1,"ניסן",15,"1-5",context,"החודש נלמד מההקשר","<b>וּבַֽחֲמִשָּׁ֨ה עָשָׂ֥ר י֛וֹם לַחֹ֥דֶשׁ הַזֶּ֖ה</b> חָ֑ג שִׁבְעַ֣ת יָמִ֔ים מַצּ֖וֹת יֵֽאָכֵֽל"
30,"במדבר","כט","א",3,29,1,7,"תשרי",1,"1-4",explicit,"","<b>וּבַחֹ֨דֶשׁ הַשְּׁבִיעִ֜י בְּאֶחָ֣ד לַחֹ֗דֶשׁ</b> מִֽקְרָא־קֹ֨דֶשׁ֙ יִֽהְיֶ֣ה לָכֶ֔ם כָּל־מְלֶ֥אכֶת עֲבֹדָ֖ה לֹ֣א תַֽעֲשׂ֑וּ י֥וֹם תְּרוּעָ֖ה יִֽהְיֶ֥ה לָכֶֽם"
31,"במדבר","כט","ז",3,29,7,7,"תשרי",10,"1-4",explicit,"","<b>וּבֶֽעָשׂוֹר֩ לַחֹ֨דֶשׁ הַשְּׁבִיעִ֜י הַזֶּ֗ה</b> מִֽקְרָא־קֹ֨דֶשׁ֙ יִֽהְיֶ֣ה לָכֶ֔ם וְעִנִּיתֶ֖ם אֶת־נַפְשֹֽׁתֵיכֶ֑ם כָּל־מְלָאכָ֖ה לֹ֥א תַֽעֲשֽׂוּ"
32,"במדבר","כט","יב",3,29,12,7,"תשרי",15,"1-5",explicit,"","<b>וּבַֽחֲמִשָּׁה֩ עָשָׂ֨ר י֜וֹם לַחֹ֣דֶשׁ הַשְּׁבִיעִ֗י</b> מִֽקְרָא־קֹ֨דֶשׁ֙ יִֽהְיֶ֣ה לָכֶ֔ם כָּל־מְלֶ֥אכֶת עֲבֹדָ֖ה לֹ֣א תַֽעֲשׂ֑וּ וְחַגֹּתֶ֥ם חַ֛ג לַֽיהֹוָ֖ה שִׁבְעַ֥ת יָמִֽים"
33,"במדבר","לג","ג",3,33,3,1,"ניסן",15,"3-9",explicit,"","וַיִּסְע֤וּ מֵֽרַעְמְסֵס֙ <b>בַּחֹ֣דֶשׁ הָֽרִאשׁ֔וֹן בַּֽחֲמִשָּׁ֥ה עָשָׂ֛ר י֖וֹם לַחֹ֣דֶשׁ הָֽרִאשׁ֑וֹן</b> מִֽמָּחֳרַ֣ת הַפֶּ֗סַח יָֽצְא֤וּ בְנֵֽי־יִשְׂרָאֵל֙ בְּיָ֣ד רָמָ֔ה לְעֵינֵ֖י כָּל־מִצְרָֽיִם"
34,"במדבר","לג","לח",3,33,38,5,"אב",1,"12-22",explicit,"","וַיַּ֩עַל֩ אַֽהֲרֹ֨ן הַכֹּהֵ֜ן אֶל־הֹ֥ר הָהָ֛ר עַל־פִּ֥י יְהֹוָ֖ה וַיָּ֣מָת שָׁ֑ם <b>בִּשְׁנַ֣ת הָֽאַרְבָּעִ֗ים לְצֵ֤את בְּנֵֽי־יִשְׂרָאֵל֙ מֵאֶ֣רֶץ מִצְרַ֔יִם בַּחֹ֥דֶשׁ הַֽחֲמִישִׁ֖י בְּאֶחָ֥ד לַחֹֽדֶשׁ</b>"
35,"דברים","א","ג",4,1,3,11,"שבט",1,"2-8",explicit,"","וַֽיְהִי֙ <b>בְּאַרְבָּעִ֣ים שָׁנָ֔ה בְּעַשְׁתֵּֽי־עָשָׂ֥ר חֹ֖דֶשׁ בְּאֶחָ֣ד לַחֹ֑דֶשׁ</b> דִּבֶּ֤ר מֹשֶׁה֙ אֶל־בְּנֵ֣י יִשְׂרָאֵ֔ל כְּ֠כֹ֠ל אֲשֶׁ֨ר צִוָּ֧ה יְהֹוָ֛ה אֹת֖וֹ אֲלֵהֶֽם"
36,"יהושע","ד","יט",5,4,19,1,"ניסן",10,"5-7",explicit,"","וְהָעָ֗ם עָלוּ֙ מִן־הַיַּרְדֵּ֔ן <b>בֶּֽעָשׂ֖וֹר לַחֹ֣דֶשׁ הָֽרִאשׁ֑וֹן</b> וַֽיַּחֲנוּ֙ בַּגִּלְגָּ֔ל בִּקְצֵ֖ה מִזְרַ֥ח יְרִיחֽוֹ"
37,"יהושע","ה","י",5,5,10,1,"ניסן",14,"8-11",context,"החודש נלמד מההקשר","וַיַּֽחֲנ֥וּ בְנֵֽי־יִשְׂרָאֵ֖ל בַּגִּלְגָּ֑ל וַיַּֽעֲשׂ֣וּ אֶת־הַפֶּ֡סַח <b>בְּאַרְבָּעָה֩ עָשָׂ֨ר י֥וֹם לַחֹ֛דֶשׁ</b> בָּעֶ֖רֶב בְּעַֽרְב֥וֹת יְרִיחֽוֹ"
38,"מלכים א","יב","לב",9,12,32,8,"חשוון",15,"4-9",explicit,"","וַיַּ֣עַשׂ יָֽרָבְעָ֣ם ׀ חָ֡ג <b>בַּחֹ֣דֶשׁ הַשְּׁמִינִ֣י בַחֲמִשָּֽׁה־עָשָׂר֩ י֨וֹם ׀ לַחֹ֜דֶשׁ</b> כֶּחָ֣ג ׀ אֲשֶׁ֣ר בִּֽיהוּדָ֗ה וַיַּ֨עַל֙ עַל־הַמִּזְבֵּ֔חַ כֵּ֤ן עָשָׂה֙ בְּבֵֽית־אֵ֔ל לְזַבֵּ֖חַ לָֽעֲגָלִ֣ים אֲשֶׁר־עָשָׂ֑ה וְהֶֽעֱמִיד֙ בְּבֵ֣ית אֵ֔ל אֶת־כֹּֽהֲנֵ֥י הַבָּמ֖וֹת אֲשֶׁ֥ר עָשָֽׂה"
39,"מלכים א","יב","לג",9,12,33,8,"חשוון",15,"8-12",explicit,"","וַיַּ֜עַל עַֽל־הַמִּזְבֵּ֣חַ ׀ אֲשֶׁר־עָשָׂ֣ה בְּבֵֽית־אֵ֗ל <b>בַּֽחֲמִשָּׁ֨ה עָשָׂ֥ר יוֹם֙ בַּחֹ֣דֶשׁ הַשְּׁמִינִ֔י</b> בַּחֹ֖דֶשׁ אֲשֶׁר־בָּדָ֣א מִלִּבּ֑וֹ וַיַּ֤עַשׂ חָג֙ לִבְנֵ֣י יִשְׂרָאֵ֔ל וַיַּ֥עַל עַל־הַמִּזְבֵּ֖חַ לְהַקְטִֽיר"
40,"מלכים ב","כה","א",10,25,1,10,"טבת",10,"2-8",explicit,"","וַיְהִי֩ <b>בִשְׁנַ֨ת הַתְּשִׁיעִ֜ית לְמָלְכ֗וֹ בַּחֹ֣דֶשׁ הָֽעֲשִׂירִי֮ בֶּֽעָשׂ֣וֹר לַחֹ֒דֶשׁ֒</b> בָּ֠א נְבֻֽכַדְנֶאצַּ֨ר מֶֽלֶךְ־בָּבֶ֜ל ה֧וּא וְכָל־חֵיל֛וֹ עַל־יְרֽוּשָׁלִַ֖ם וַיִּ֣חַן עָלֶ֑יהָ וַיִּבְנ֥וּ עָלֶ֛יהָ דָּיֵ֖ק סָבִֽיב"
41,"מלכים ב","כה","ג",10,25,3,4,"תמוז",9,"1-2",inferred,"החודש נלמד מהפסוק המקביל בירמיהו נב,ו","<b>בְּתִשְׁעָ֣ה לַחֹ֔דֶשׁ</b> וַיֶּֽחֱזַ֥ק הָֽרָעָ֖ב בָּעִ֑יר וְלֹא־הָ֥יָה לֶ֖חֶם לְעַ֥ם הָאָֽרֶץ"
42,"מלכים ב","כה","ח",10,25,8,5,"אב",7,"1-11",explicit,"","<b>וּבַחֹ֤דֶשׁ הַֽחֲמִישִׁי֙ בְּשִׁבְעָ֣ה לַחֹ֔דֶשׁ הִ֗יא שְׁנַת֙ תְּשַֽׁע־עֶשְׂרֵ֣ה שָׁנָ֔ה לַמֶּ֖לֶךְ נְבֻֽכַדְנֶאצַּ֣ר</b> מֶֽלֶךְ־בָּבֶ֑ל בָּ֞א נְבֽוּזַרְאֲדָ֧ן רַב־טַבָּחִ֛ים עֶ֥בֶד מֶֽלֶךְ־בָּבֶ֖ל יְרֽוּשָׁלִָֽם"
43,"מלכים ב","כה","כז",10,25,27,12,"אדר",27,"2-6,9-14",explicit,"","וַיְהִי֩ <b>בִשְׁלֹשִׁ֨ים וָשֶׁ֜בַע שָׁנָ֗ה לְגָלוּת֙ יְהֽוֹיָכִ֣ין</b> מֶֽלֶךְ־יְהוּדָ֔ה <b>בִּשְׁנֵ֤ים עָשָׂר֙ חֹ֔דֶשׁ בְּעֶשְׂרִ֥ים וְשִׁבְעָ֖ה לַחֹ֑דֶשׁ</b> נָשָׂ֡א אֱוִ֣יל מְרֹדַךְ֩ מֶ֨לֶךְ בָּבֶ֜ל בִּשְׁנַ֣ת מָלְכ֗וֹ אֶת־רֹ֛אשׁ יְהֽוֹיָכִ֥ין מֶֽלֶךְ־יְהוּדָ֖ה מִבֵּ֥ית כֶּֽלֶא"
44,"ירמיהו","לט","ב",12,39,2,4,"תמוז",9,"1-8",explicit,"","<b>בְּעַשְׁתֵּֽי־עֶשְׂרֵ֤ה שָׁנָה֙ לְצִדְקִיָּ֔הוּ בַּחֹ֥דֶשׁ הָֽרְבִיעִ֖י בְּתִשְׁעָ֣ה לַחֹ֑דֶשׁ</b> הָבְקְעָ֖ה הָעִֽיר"
45,"ירמיהו","נב","ד",12,52,4,10,"טבת",10,"2-8",explicit,"","וַיְהִי֩ <b>בַשָּׁנָ֨ה הַתְּשִׁעִ֜ית לְמָלְכ֗וֹ בַּחֹ֣דֶשׁ הָֽעֲשִׂירִי֮ בֶּֽעָשׂ֣וֹר לַחֹ֒דֶשׁ֒</b> בָּ֠א נְבֽוּכַדְרֶאצַּ֨ר מֶֽלֶךְ־בָּבֶ֜ל ה֤וּא וְכָל־חֵילוֹ֙ עַל־יְר֣וּשָׁלִַ֔ם וַֽיַּחֲנ֖וּ עָלֶ֑יהָ וַיִּבְנ֥וּ עָלֶ֛יהָ דָּיֵ֖ק סָבִֽיב"
46,"ירמיהו","נב","ו",12,52,6,4,"תמוז",9,"1-4",explicit,"","<b>בַּחֹ֤דֶשׁ הָֽרְבִיעִי֙ בְּתִשְׁעָ֣ה לַחֹ֔דֶשׁ</b> וַיֶּֽחֱזַ֥ק הָֽרָעָ֖ב בָּעִ֑יר וְלֹֽא־הָיָ֥ה לֶ֖חֶם לְעַ֥ם הָאָֽרֶץ"
47,"ירמיהו","נב","יב",12,52,12,5,"אב",10,"1-11",explicit,"","<b>וּבַחֹ֤דֶשׁ הַֽחֲמִישִׁי֙ בֶּֽעָשׂ֣וֹר לַחֹ֔דֶשׁ הִ֗יא שְׁנַת֙ תְּשַֽׁע־עֶשְׂרֵ֣ה שָׁנָ֔ה לַמֶּ֖לֶךְ נְבֽוּכַדְרֶאצַּ֣ר</b> מֶֽלֶךְ־בָּבֶ֑ל בָּ֗א נְבֽוּזַרְאֲדָן֙ רַב־טַבָּחִ֔ים עָמַ֛ד לִפְנֵ֥י מֶֽלֶךְ־בָּבֶ֖ל בִּירֽוּשָׁלִָֽם"
48,"ירמיהו","נב","לא",12,52,31,12,"אדר",25,"2-6,9-14",explicit,"","וַיְהִי֩ <b>בִשְׁלֹשִׁ֨ים וָשֶׁ֜בַע שָׁנָ֗ה לְגָלוּת֙ יְהֽוֹיָכִ֣ן</b> מֶֽלֶךְ־יְהוּדָ֔ה <b>בִּשְׁנֵי֤ם עָשָׂר֙ חֹ֔דֶשׁ בְּעֶשְׂרִ֥ים וַֽחֲמִשָּׁ֖ה לַחֹ֑דֶשׁ</b> נָשָׂ֡א אֱוִ֣יל מְרֹדַךְ֩ מֶ֨לֶךְ בָּבֶ֜ל בִּשְׁנַ֣ת מַלְכֻת֗וֹ אֶת־רֹאשׁ֙ יְהֽוֹיָכִ֣ין מֶֽלֶךְ־יְהוּדָ֔ה וַיֹּצֵ֥א אֹת֖וֹ מִבֵּ֥ית הַכְּלֽוּא"
49,"יחזקאל","א","א",13,1,1,4,"תמוז",5,"2-6",explicit,"","וַיְהִ֣י ׀ <b>בִּשְׁלֹשִׁ֣ים שָׁנָ֗ה בָּֽרְבִיעִי֙ בַּֽחֲמִשָּׁ֣ה לַחֹ֔דֶשׁ</b> וַֽאֲנִ֥י בְתֽוֹךְ־הַגּוֹלָ֖ה עַל־נְהַר־כְּבָ֑ר נִפְתְּחוּ֙ הַשָּׁמַ֔יִם וָֽאֶרְאֶ֖ה מַרְא֥וֹת אֱלֹהִֽים"
50,"יחזקאל","א","ב",13,1,2,4,"תמוז",5,"1-8",context,"החודש נלמד מההקשר","<b>בַּֽחֲמִשָּׁ֖ה לַחֹ֑דֶשׁ הִ֚יא הַשָּׁנָ֣ה הַֽחֲמִישִׁ֔ית לְגָל֖וּת הַמֶּ֥לֶךְ יֽוֹיָכִֽין</b>"
51,"יחזקאל","ח","א",13,8,1,6,"אלול",5,"2-6",explicit,"","וַיְהִ֣י ׀ <b>בַּשָּׁנָ֣ה הַשִּׁשִּׁ֗ית בַּשִּׁשִּׁי֙ בַּֽחֲמִשָּׁ֣ה לַחֹ֔דֶשׁ</b> אֲנִי֙ יוֹשֵׁ֣ב בְּבֵיתִ֔י וְזִקְנֵ֥י יְהוּדָ֖ה יֽוֹשְׁבִ֣ים לְפָנָ֑י וַתִּפֹּ֤ל עָלַי֙ שָׁ֔ם יַ֖ד אֲדֹנָ֥י יְהֹוִֽה"
52,"יחזקאל","כ","א",13,20,1,5,"אב",10,"2-6",explicit,"","וַיְהִ֣י ׀ <b>בַּשָּׁנָ֣ה הַשְּׁבִיעִ֗ית בַּֽחֲמִשִׁי֙ בֶּֽעָשׂ֣וֹר לַחֹ֔דֶשׁ</b> בָּ֧אוּ אֲנָשִׁ֛ים מִזִּקְנֵ֥י יִשְׂרָאֵ֖ל לִדְרֹ֣שׁ אֶת־יְהֹוָ֑ה וַיֵּֽשְׁב֖וּ לְפָנָֽי"
53,"יחזקאל","כד","א",13,24,1,10,"טבת",10,"5-10",explicit,"","וַיְהִי֩ דְבַר־יְהֹוָ֨ה אֵלַ֜י <b>בַּשָּׁנָ֤ה הַתְּשִׁיעִית֙ בַּחֹ֣דֶשׁ הָֽעֲשִׂירִ֔י בֶּֽעָשׂ֥וֹר לַחֹ֖דֶשׁ</b> לֵאמֹֽר"
